Generation,tournament|positionbased|global_perm|elitism=True,tournament|positionbased|random_swap|elitism=True,tournament|positionbased_2child|random_swap|elitism=True,tournament|blockwise|random_swap|elitism=True,tournament|blockwise_2child|global_perm|elitism=True,tournament|positionbased|between_teams|elitism=True,fitness_proportionate|positionbased|global_perm|elitism=True,fitness_proportionate|positionbased|random_swap|elitism=True,fitness_proportionate|positionbased_2child|random_swap|elitism=True,fitness_proportionate|blockwise|random_swap|elitism=True,fitness_proportionate|blockwise_2child|global_perm|elitism=True,fitness_proportionate|positionbased|between_teams|elitism=True
10,0.8571928494377958,0.877215418821962,0.8571928494377958,0.9246831263432937,0.9034203067406401,0.9034203067406401,0.8571928494377958,0.8264761545753786,0.8264761545753786,0.8571928494377958,0.8571928494377974,0.8264761545753778
11,0.8571928494377958,0.8772154188219641,0.8571928494377958,0.9459459459459473,0.9034203067406401,0.9034203067406401,0.8571928494377958,0.8264761545753786,0.8571928494377958,0.8571928494377958,0.857192849437799,0.8406742291914676
12,0.8571928494377958,0.8772154188219661,0.877215418821962,0.9459459459459473,0.9459459459459473,0.9034203067406401,0.8571928494377958,0.8335751918834231,0.8571928494377958,0.8571928494377958,0.8672041341298805,0.8406742291914676
13,0.8571928494377958,0.8903178627813031,0.9034203067406401,0.9459459459459473,0.9459459459459473,0.9034203067406401,0.8571928494377958,0.8406742291914676,0.8571928494377958,0.8571928494377974,0.8672041341298805,0.8406742291914676
14,0.8571928494377958,0.8903178627813031,0.9034203067406401,0.9459459459459473,0.9459459459459473,0.9034203067406401,0.8571928494377958,0.8406742291914676,0.857192849437799,0.8571928494377974,0.877215418821962,0.8406742291914676
15,0.8571928494377958,0.9034203067406401,0.9034203067406401,0.9459459459459473,0.9459459459459473,0.9034203067406401,0.8571928494377958,0.8406742291914676,0.857192849437799,0.857192849437799,0.877215418821962,0.8406742291914676
16,0.8571928494377958,0.9034203067406401,0.9034203067406401,0.9459459459459473,0.9459459459459473,0.9034203067406401,0.8571928494377958,0.8406742291914676,0.857192849437799,0.857192849437799,0.877215418821962,0.8406742291914676
17,0.8571928494377958,0.9034203067406401,0.9034203067406401,0.9459459459459473,0.9459459459459473,0.9034203067406401,0.8571928494377958,0.8406742291914676,0.857192849437799,0.857192849437799,0.877215418821962,0.8489335393146318
18,0.8571928494377958,0.9034203067406401,0.9034203067406401,0.9459459459459473,0.9459459459459473,0.9034203067406401,0.8571928494377958,0.8406742291914676,0.857192849437799,0.8672041341298805,0.877215418821962,0.8571928494377958
19,0.8571928494377958,0.9034203067406401,0.9034203067406401,0.9459459459459473,0.9459459459459473,0.9034203067406401,0.8571928494377958,0.8406742291914676,0.8672041341298805,0.8672041341298805,0.8772154188219641,0.8571928494377958
20,0.8571928494377958,0.9034203067406401,0.9034203067406401,0.9459459459459473,0.9459459459459473,0.9034203067406401,0.877215418821962,0.8571928494377958,0.8672041341298805,0.8903178627813011,0.8772154188219641,0.8571928494377958
21,0.8571928494377958,0.9034203067406401,0.9034203067406401,0.9459459459459473,0.9459459459459473,0.9034203067406401,0.877215418821962,0.8672041341298805,0.877215418821962,0.9034203067406401,0.8903178627813031,0.8571928494377958
22,0.8571928494377974,0.9034203067406401,0.9034203067406401,0.9459459459459473,0.9459459459459473,0.9034203067406401,0.877215418821962,0.8672041341298805,0.8903178627813011,0.9034203067406401,0.8903178627813031,0.8571928494377958
23,0.8571928494377974,0.9034203067406401,0.9034203067406401,0.9459459459459473,0.9459459459459473,0.9246831263432937,0.8772154188219641,0.8772154188219641,0.8903178627813011,0.9034203067406401,0.8903178627813031,0.8571928494377958
24,0.8571928494377974,0.9034203067406401,0.9034203067406401,0.9459459459459473,0.9459459459459473,0.9459459459459473,0.8772154188219641,0.8772154188219661,0.8903178627813011,0.9034203067406401,0.8903178627813031,0.8571928494377958
25,0.8571928494377974,0.9034203067406401,0.9034203067406401,0.9459459459459473,0.9459459459459473,0.9459459459459473,0.8772154188219641,0.8903178627813031,0.9034203067406401,0.9034203067406401,0.8903178627813031,0.857192849437799
26,0.8571928494377974,0.9246831263432937,0.9034203067406401,0.9459459459459473,0.9459459459459473,0.9459459459459473,0.8772154188219661,0.8903178627813031,0.9034203067406401,0.9034203067406401,0.8903178627813031,0.857192849437799
27,0.8571928494377974,0.9246831263432937,0.9034203067406401,0.9459459459459473,0.9459459459459473,0.9459459459459473,0.8772154188219661,0.9034203067406401,0.9034203067406401,0.9034203067406401,0.9034203067406401,0.857192849437799
28,0.8571928494377974,0.9246831263432937,0.9034203067406401,0.9459459459459473,0.9459459459459473,0.9459459459459473,0.8772154188219661,0.9034203067406401,0.9034203067406401,0.9034203067406401,0.9034203067406401,0.857192849437799
29,0.8571928494377974,0.9246831263432937,0.9034203067406401,0.9459459459459473,0.9459459459459473,0.9459459459459473,0.8772154188219661,0.9034203067406401,0.9034203067406401,0.9034203067406401,0.9034203067406401,0.857192849437799
30,0.8571928494377974,0.9246831263432937,0.9034203067406401,0.9459459459459473,0.9459459459459473,0.9459459459459473,0.8903178627813031,0.9034203067406401,0.9034203067406401,0.9034203067406401,0.9034203067406401,0.857192849437799
